# SPDX-FileCopyrightText: © 2024, Peter J. Mello <admin@petermello.net>
#
# SPDX-License-Identifier: MIT
RetroKeyboard Inputs,Sinclair Keyboard
++arrow-up++,VK_UP { .middle }
++arrow-down++,VK_DOWN { .middle }
++arrow-right++,VK_RIGHT { .middle }
++arrow-left++,VK_LEFT { .middle }
++backspace++,VK_BACK { .middle }
++tab++,VK_TAB { .middle }
++clear++,VK_CLEAR { .middle }
++enter++,VK_RETURN { .middle }
++shift+break++,VK_PAUSE { .middle }
++escape++,VK_ESCAPE { .middle }
++space++,VK_SPACE { .middle }
++comma++,VK_COMMA { .middle }
++shift++,VK_SHIFT { .middle }
++control++,VK_CONTROL { .middle }
++alt++,VK_MENU { .middle }
++insert++,VK_INSERT { .middle }
++delete++,VK_DELETE { .middle }
++home++,VK_HOME { .middle }
++end++,VK_END { .middle }
++page-up++,VK_PRIOR { .middle }
++page-down++,VK_NEXT { .middle }
++num0++,VK_NUMPAD0 { .middle }
++num1++,VK_NUMPAD1 { .middle }
++num2++,VK_NUMPAD2 { .middle }
++num3++,VK_NUMPAD3 { .middle }
++num4++,VK_NUMPAD4 { .middle }
++num5++,VK_NUMPAD5 { .middle }
++num6++,VK_NUMPAD6 { .middle }
++num7++,VK_NUMPAD7 { .middle }
++num8++,VK_NUMPAD8 { .middle }
++num9++,VK_NUMPAD9 { .middle }
++num-separator++,VK_DECIMAL { .middle }
++num-slash++,VK_DIVIDE { .middle }
++num-asterisk++,VK_MULTIPLY { .middle }
++num-minus++,VK_SUBTRACT { .middle }
++num-plus++,VK_ADD { .middle }
++f1++,VK_F1 { .middle }
++f2++,VK_F2 { .middle }
++f3++,VK_F3 { .middle }
++f4++,VK_F4 { .middle }
++f5++,VK_F5 { .middle }
++f6++,VK_F6 { .middle }
++f7++,VK_F7 { .middle }
++f8++,VK_F8 { .middle }
++f9++,VK_F9 { .middle }
++f10++,VK_F10 { .middle }
++f11++,VK_F11 { .middle }
++f12++,VK_F12 { .middle }
++f13++,VK_F13 { .middle }
++f14++,VK_F14 { .middle }
++f15++,VK_F15 { .middle }
++num-lock++,VK_NUMLOCK { .middle }
++caps-lock++,VK_CAPITAL { .middle }
++scroll-lock++,VK_SCROLL { .middle }
++print-screen++,VK_SNAPSHOT { .middle }
