# SPDX-FileCopyrightText: © 2024–2026, Peter J. Mello <admin@petermello.net>
#
# SPDX-License-Identifier: MIT
Manufacturer,System,Core { data-sort-default },Link { data-sort-method="none" }
3DO,3DO,[Opera](opera.md),[BIOS information](opera.md#bios)
Atari,5200&thinsp;/&thinsp;8&#8209;bit&nbsp;computers,[Atari800](atari800.md),[BIOS information](atari800.md#bios)
Atari,7800,[ProSystem](prosystem.md),[BIOS information](prosystem.md#bios)
Apple,Macintosh,[minivmac](minivmac.md),[BIOS information](minivmac.md#bios)
Various,Arcade,[MAME2003](mame_2003.md),[BIOS information](mame_2003.md#bios)
Various,Arcade,[MAME2003+](mame2003_plus.md),[BIOS information](mame2003_plus.md#bios)
Various,Arcade,[MAME2010](mame_2010.md),[BIOS information](mame_2010.md#bios)
Various,Arcade,[SAME_CDI](same_cdi.md),[BIOS information](same_cdi.md#bios)
BBK,E&#8209;Dictionary,[GAM4980](gam4980.md),[BIOS information](gam4980.md#bios)
ColecoVision,ColecoVision,[Gearcoleco](gearcoleco.md),[BIOS information](gearcoleco.md#bios)
Sega,Dreamcast,[Flycast](flycast.md),[BIOS information](flycast.md#bios)
Nintendo,DS,[DeSmuME](desmume.md),[BIOS information](desmume.md#bios)
Nintendo,DS,[melonDS](melonds_ds.md),[BIOS information](melonds_ds.md#bios)
Elektronika,BK&#8209;0010&thinsp;/&thinsp;BK&#8209;0011,[bk](bk.md),[BIOS information](bk.md#bios)
Enterprise,128,[ep128emu](ep128emu.md),[BIOS information](ep128emu.md#bios)
Nintendo,Game&nbsp;Boy&thinsp;/&thinsp;Color,[Emux GB](emux_gb.md),[BIOS information](emux_gb.md#bios)
Nintendo,Game&nbsp;Boy&thinsp;/&thinsp;Color,[Gambatte](gambatte.md),[BIOS information](gambatte.md#bios)
Nintendo,Game&nbsp;Boy&thinsp;/&thinsp;Color,[Gearboy](gearboy.md),[BIOS information](gearboy.md#bios)
