# SPDX-License-Identifier: MIT
#
# SPDX-FileCopyrightText: © 2024, Peter J. Mello <admin@petermello.net>
Filename,Firmware description,MD5 checksum
`dsp1.data.rom`,DSP1 co-processor,`3d81b45fa0c2aa8b852dfb1ece7c0971`
`dsp1.program.rom`,DSP1 co-processor,`ae209fbe789fbf11a48aea5ab1197321`
`dsp1b.data.rom`,DSP1B co-processor,`1e3f568634a7d8284020dddc0ae905bc`
`dsp1b.program.rom`,DSP1B co-processor,`d10f446888e097cbf500f3f663cf4f6d`
`dsp2.data.rom`,DSP2 co-processor,`e9417e29223b139c3c4b635a2a3b8744`
`dsp2.program.rom`,DSP2 co-processor,`aa6e5922a3ed5ded54f24247c11143c5`
`dsp3.data.rom`,DSP3 co-processor,`0a81210c0a940b997dd9843281008ee6`
`dsp3.program.rom`,DSP3 co-processor,`d99ca4562818d49cee1f242705bba6f8`
`dsp4.data.rom`,DSP4 co-processor,`ee4990879eb68e3cbca239c5bc20303d`
`dsp4.program.rom`,DSP4 co-processor,`a151023b948b90ffc23a5b594bb6fef2`
`cx4.data.rom`,CX4 co-processor,`037ac4296b6b6a5c47c440188d3c72e3`
`st010.data.rom`,ST010 co-processor,`254d70762b6f59f99c27c395aba7d07d`
`st010.program.rom`,ST010 co-processor,`1d70019179a59a566a0bb5d3f2845544`
`st011.data.rom`,ST011 co-processor,`10bd3f4aa949737ab9836512c35bcc29`
`st011.program.rom`,ST011 co-processor,`95222ebf1c0c2990bcf25db43743f032`
`st018.data.rom`,ST018 co-processor,`49c898b60d0f15e90d0ba780dd12f366`
`st018.program.rom`,ST018 co-processor,`dda40ccd57390c96e49d30a041f9a9e7`
`sgb.boot.rom`,Super Game Boy BIOS,―
