# SPDX-License-Identifier: MIT
#
# SPDX-FileCopyrightText: © 2024, Peter J. Mello <admin@petermello.net>
RetroPad Inputs,GameCube Controller,Wiimote,Wiimote (sideways),Wiimote + Nunchuk,Classic Controller,Classic Controller Pro
![B button][rpad-b] { .middle },:material-alpha-b-circle: { class="huge middle" },:material-alpha-b-circle: { class="huge middle" },:material-numeric-1-circle: { class="huge middle" },:material-alpha-b-circle: { class="huge middle" },:material-alpha-b-circle: { class="huge middle" },:material-alpha-b-circle: { class="huge middle" }
![Y button][rpad-y] { .middle },:material-alpha-y-circle: { class="huge middle" },:material-numeric-2-circle: { class="huge middle" },:material-alpha-b-circle: { class="huge middle" },:material-alpha-z-circle: { class="huge middle" },:material-alpha-y-circle: { class="huge middle" },:material-alpha-y-circle: { class="huge middle" }
![Select button][rpad-select] { .middle },:octicons-circle-slash-16:{ title="Not mapped" } { class="huge middle" },:material-minus-circle: { class="huge middle" },:material-minus-circle: { class="huge middle" },:material-numeric-2-circle: { class="huge middle" },:material-minus-circle: { class="huge middle" },:material-minus-circle: { class="huge middle" }
![Start button][rpad-start] { .middle },:material-circle:{ .huge }<br />Start/Pause { .middle },:material-plus-circle: { class="huge middle" },:material-plus-circle: { class="huge middle" },:material-numeric-1-circle: { class="huge middle" },:material-plus-circle: { class="huge middle" },:material-plus-circle: { class="huge middle" }
![D-pad Up][rpad-dpad-up] { .middle },:material-gamepad-round-up: { class="huge middle" },:material-gamepad-round-up: { class="huge middle" },:material-gamepad-round-up: { class="huge middle" },:material-gamepad-round-up: { class="huge middle" },:material-gamepad-round-up: { class="huge middle" },:material-gamepad-round-up: { class="huge middle" }
![D-pad Down][rpad-dpad-down] { .middle },:material-gamepad-round-down: { class="huge middle" },:material-gamepad-round-down: { class="huge middle" },:material-gamepad-round-down: { class="huge middle" },:material-gamepad-round-down: { class="huge middle" },:material-gamepad-round-down: { class="huge middle" },:material-gamepad-round-down: { class="huge middle" }
![D-pad Left][rpad-dpad-left] { .middle },:material-gamepad-round-left: { class="huge middle" },:material-gamepad-round-left: { class="huge middle" },:material-gamepad-round-left: { class="huge middle" },:material-gamepad-round-left: { class="huge middle" },:material-gamepad-round-left: { class="huge middle" },:material-gamepad-round-left: { class="huge middle" }
![D-pad Right][rpad-dpad-right] { .middle },:material-gamepad-round-right: { class="huge middle" },:material-gamepad-round-right: { class="huge middle" },:material-gamepad-round-right: { class="huge middle" },:material-gamepad-round-right: { class="huge middle" },:material-gamepad-round-right: { class="huge middle" },:material-gamepad-round-right: { class="huge middle" }
![A button][rpad-a] { .middle },:material-alpha-a-circle: { class="huge middle" },:material-alpha-a-circle: { class="huge middle" },:material-numeric-2-circle: { class="huge middle" },:material-alpha-a-circle: { class="huge middle" },:material-alpha-a-circle: { class="huge middle" },:material-alpha-a-circle: { class="huge middle" }
![X button][rpad-x] { .middle },:material-alpha-x-circle: { class="huge middle" },:material-numeric-1-circle: { class="huge middle" },:material-alpha-a-circle: { class="huge middle" },:material-alpha-c-circle: { class="huge middle" },:material-alpha-x-circle: { class="huge middle" },:material-alpha-x-circle: { class="huge middle" }
