# SPDX-License-Identifier: MIT
#
# SPDX-FileCopyrightText: © 2024, Peter J. Mello <admin@petermello.net>
Feature,Supported
Restart,:white_check_mark:
Screenshots,:white_check_mark:
[Shaders][],:white_check_mark:
Saves,❌
States,❌
Rewind,❌
Netplay,❌
Core Options,:white_check_mark:
RetroAchievements,❌
RetroArch Cheats,❌
Native Cheats,❌
Controls,:white_check_mark:
Remapping,:white_check_mark:
Multi-Mouse,❌
Rumble,❌
Sensors,❌
Camera,❌
Location,❌
Subsystem,❌
[Softpatching][],❌
Disk Control,❌
Username,❌
Language,❌
Crop Overscan,❌
LEDs,❌
